UEI,Year,Start Date,End Date,Duration,Main Cause,Location,Latitude,Longitude,Area Affected,Human fatality,Human injured,Animal Fatality,Description of Casualties/injured,Details
UEI-IMD-FL-1988-0099,1988,1988-06-12,1988-06-13,1,heavy rain,"24 paraganas, West Bengal",22.9964948,87.6855882,,4,30,,4 persons including an old lady died due to house collapse i30 people injured at Midnapore,4 barges and 3 launches capsized near Haldia in Hugli district iEmbankment across river Ganga breached at several places ii300 kutcha houses collapsed in Midnapore district
UEI-IMD-FL-1984-0096,1984,1984-06-03,1984-06-06,3,heavy rain,"24 Parganas, West Bengal",22.59632295,88.40822061,,19,10,,1 person killed and 10 injured on 5th i18 more died on 6th due to house collapse and electrocution,"9,000 people marooned in North Kolkata i2 lakh people in Kolkata, Howrah and 24 Paraganas districts affected. 10,000 people resucued to safer places iiTrain and air services completely disrupted iv)30,000 telephone sets went out of gear v)Extensive damage was caused by the flooding of Metero Railways tunnel due to heavy rains during 1st week of June 1984"
UEI-IMD-FL-1990-0079,1990,1990-05-13,1990-05-14,1,heavy rain,"24 Parganas, West Bengal",22.59632295,88.40822061,,1,,,1 person died at Garden Reach,"About 200 persons at Kundu lane basti of Uttar Danga and 150 people at Banepukur Mansola basti in Kolkata marooned iExtensive damaged to crop, in Haora reported iiTram services suspended"
UEI-IMD-FL-1995-0149,1995,1995-09-26,1995-09-26,0,heavy rain,"24 Parganas, West Bengal",22.59632295,88.40822061,,1,2,,1 girl died and 2 other injured,"Low lying areas flooded iVehicular traffic and tram services completely disrupted , 1,100 houses damaged in Medinapur iHundreds of houses collapsed at Akhayanagar colony in Kakdipara in South 24 Parganas ii2 houses collapsed at Bally and Shibpur area in Howrah"
UEI-DFO-FL-2018-0008,2018,2018-02-08,2018-10-08,242,monsoonal rain,"ABC STREET, North Lakhimpur, Lakhimpur District, Assam, 787001",27.2914,94.1222,73328.62,0,,,,
UEI-IMD-FL-1987-0001,1987,1987-07-08,1987-07-08,0,heavy rain,"Adilabad, Andhra Pradesh",15.9240905,80.1863809,,53,,,53 persons killed in a train accident near Mancherial town due to damage of the railway track,
UEI-IMD-FL-2013-0004,2013,2013-07-31,2013-07-31,0,heavy rain,"Adilabad, Andhra Pradesh",15.9240905,80.1863809,,2,,,2 persons died.,
UEI-IMD-FL-1983-0001,1983,1983-08-08,1983-08-11,3,severe rain,"Adilabad, Andhra Pradesh",15.9240905,80.1863809,,4,,23,4 persons died and 23 cattle washed away,"(154 villages affected (iAbout 10770 people evacuated to safer places (ii2150 houses damaged, loss of property estimated to be worth Rs. 320 lakh(iv)Crop in 1,67,930 acres flooded (v) 600 metre rail line between Mudkhed-Adilabad, breached"
UEI-EM-DAT-FL-2006-0001,2006,2006-04-15,2006-04-18,3,flash flood,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",17.43,82.81,,,,,,
UEI-IMD-FL-2007-0129,2007,2007-06-10,2007-06-10,0,heavy rain,Agartala,23.8312377,91.2823821,,1,2,,One person died and 2 children injured.,Main wooden bridge over Muhuri river washed away. i Mudslide reported.
